trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.75, 'e': 0.149}",20,0,12.642689511436373,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
2,False,"{'a': 0.75, 'e': 0.148}",20,0,-26.568924357309374,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
3,False,"{'a': 0.75, 'e': 0.147}",30,0,-31.152637174186932,"{0: 25, 1: 1, 2: 2, 3: 2, 4: 0}",0
4,False,"{'a': 0.75, 'e': 0.146}",30,0,43.171075830246885,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,False,"{'a': 0.75, 'e': 0.145}",25,0,18.78930429845767,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
6,False,"{'a': 0.75, 'e': 0.144}",20,0,6.322966996862868,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
7,False,"{'a': 0.75, 'e': 0.143}",20,0,19.65764489590672,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
8,False,"{'a': 0.75, 'e': 0.142}",25,0,23.377265455404192,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
9,False,"{'a': 0.75, 'e': 0.141}",30,15,25.121451401738017,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.75, 'e': 0.13999999999999999}",25,0,37.50247805749884,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
11,False,"{'a': 0.75, 'e': 0.13899999999999998}",25,0,12.023718858120597,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
12,False,"{'a': 0.75, 'e': 0.13799999999999998}",20,12,14.796591570549841,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.75, 'e': 0.13699999999999998}",30,18,18.518301418573223,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.75, 'e': 0.13599999999999998}",20,0,31.698326258041295,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
15,False,"{'a': 0.75, 'e': 0.13499999999999998}",30,0,40.740601273071285,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
16,False,"{'a': 0.75, 'e': 0.13399999999999998}",35,0,9.594647276423586,"{0: 34, 1: 0, 2: 0, 3: 0, 4: 1}",0
17,False,"{'a': 0.75, 'e': 0.13299999999999998}",25,2,34.51439357654504,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.75, 'e': 0.13199999999999998}",30,7,1.9423875622177063,"{0: 21, 1: 0, 2: 1, 3: 1, 4: 0}",1
19,False,"{'a': 0.75, 'e': 0.13099999999999998}",20,0,16.22717083434472,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
