trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
43,False,"{'a': 0.75, 'e': 0.10699999999999996}",25,0,38.71662080238052,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
44,False,"{'a': 0.75, 'e': 0.10599999999999996}",25,0,34.17794597581632,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
45,False,"{'a': 0.75, 'e': 0.10499999999999995}",25,0,36.669232729868135,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
46,False,"{'a': 0.75, 'e': 0.10399999999999995}",30,0,36.18905525230226,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
47,False,"{'a': 0.75, 'e': 0.10299999999999995}",20,0,26.108247917286267,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
48,False,"{'a': 0.75, 'e': 0.10199999999999995}",25,0,39.295367910810086,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
49,False,"{'a': 0.75, 'e': 0.10099999999999995}",25,0,32.239706486017155,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
50,False,"{'a': 0.75, 'e': 0.09999999999999995}",20,0,26.993754933212777,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
51,False,"{'a': 0.75, 'e': 0.09899999999999995}",20,0,23.93846167070199,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
52,False,"{'a': 0.75, 'e': 0.09799999999999995}",25,7,28.787694364144162,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.75, 'e': 0.09699999999999995}",20,0,29.24071750566407,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
54,False,"{'a': 0.75, 'e': 0.09599999999999995}",20,0,24.441763093038244,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
55,False,"{'a': 0.75, 'e': 0.09499999999999995}",20,0,30.868388643515928,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
56,False,"{'a': 0.75, 'e': 0.09399999999999994}",20,6,25.187275225239404,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.75, 'e': 0.09299999999999994}",20,0,30.713381225523747,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
58,False,"{'a': 0.75, 'e': 0.09199999999999994}",25,0,32.916500344991555,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
59,False,"{'a': 0.75, 'e': 0.09099999999999994}",25,0,30.25786010782764,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
60,False,"{'a': 0.75, 'e': 0.08999999999999994}",25,0,34.40703218590836,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
61,False,"{'a': 0.75, 'e': 0.08899999999999994}",25,0,34.26932479968127,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
62,False,"{'a': 0.75, 'e': 0.08799999999999994}",20,8,16.281058826324404,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.75, 'e': 0.08699999999999994}",20,4,25.662513306250013,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.75, 'e': 0.08599999999999994}",20,0,28.146367618517253,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
65,False,"{'a': 0.75, 'e': 0.08499999999999994}",20,0,27.011630954138894,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
66,False,"{'a': 0.75, 'e': 0.08399999999999994}",20,0,23.547501739256624,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
67,False,"{'a': 0.75, 'e': 0.08299999999999993}",30,0,35.19847020899339,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
68,False,"{'a': 0.75, 'e': 0.08199999999999993}",20,0,30.102751675337576,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
69,False,"{'a': 0.75, 'e': 0.08099999999999993}",20,11,17.275502907072905,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.75, 'e': 0.07999999999999993}",35,0,48.198631837077514,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
71,False,"{'a': 0.75, 'e': 0.07899999999999993}",25,0,30.812681701044813,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
72,False,"{'a': 0.75, 'e': 0.07799999999999993}",25,7,25.88941266693168,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.75, 'e': 0.07699999999999993}",25,0,31.976125622019165,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
74,False,"{'a': 0.75, 'e': 0.07599999999999993}",20,0,-6.968700532227144,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
75,False,"{'a': 0.75, 'e': 0.07499999999999993}",30,0,49.007512653236766,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
76,False,"{'a': 0.75, 'e': 0.07399999999999993}",20,0,23.929820887946036,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
77,False,"{'a': 0.75, 'e': 0.07299999999999993}",20,3,26.74772199671839,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.75, 'e': 0.07199999999999993}",20,0,28.76693017405561,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
79,False,"{'a': 0.75, 'e': 0.07099999999999992}",20,0,31.331352443639336,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
80,False,"{'a': 0.75, 'e': 0.06999999999999992}",20,0,34.94700022657092,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
81,False,"{'a': 0.75, 'e': 0.06899999999999992}",20,0,29.46124587193848,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
82,False,"{'a': 0.75, 'e': 0.06799999999999992}",20,0,22.5849976851415,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
83,False,"{'a': 0.75, 'e': 0.06699999999999992}",20,0,29.88106887123696,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
84,False,"{'a': 0.75, 'e': 0.06599999999999992}",20,0,29.596719895088118,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
85,False,"{'a': 0.75, 'e': 0.06499999999999992}",20,0,27.939626186322037,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
86,False,"{'a': 0.75, 'e': 0.06399999999999992}",20,0,25.96549204869536,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
87,False,"{'a': 0.75, 'e': 0.06299999999999992}",25,5,30.05856545022007,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.75, 'e': 0.061999999999999916}",20,6,28.041527553733477,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.75, 'e': 0.060999999999999915}",25,8,30.013071839513664,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.75, 'e': 0.059999999999999915}",25,11,24.010851430824662,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.75, 'e': 0.058999999999999914}",20,0,22.53933566836237,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
92,False,"{'a': 0.75, 'e': 0.05799999999999991}",20,0,29.713489567741803,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
93,False,"{'a': 0.75, 'e': 0.05699999999999991}",25,0,33.09292429552515,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
94,False,"{'a': 0.75, 'e': 0.05599999999999991}",25,0,30.743499384940883,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
95,False,"{'a': 0.75, 'e': 0.05499999999999991}",25,5,36.39900427932066,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.75, 'e': 0.05399999999999991}",25,0,28.27802248130141,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
97,False,"{'a': 0.75, 'e': 0.05299999999999991}",20,0,24.696844102040046,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
98,False,"{'a': 0.75, 'e': 0.05199999999999991}",25,0,35.984999159906955,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
99,False,"{'a': 0.75, 'e': 0.050999999999999907}",20,0,26.640471667373966,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
100,False,"{'a': 0.75, 'e': 0.049999999999999906}",25,0,25.398078520589923,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
101,False,"{'a': 0.75, 'e': 0.048999999999999905}",30,0,47.92480776760929,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
102,False,"{'a': 0.75, 'e': 0.047999999999999904}",25,0,35.26979968828031,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
103,False,"{'a': 0.75, 'e': 0.0469999999999999}",20,0,22.583157147538508,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
104,False,"{'a': 0.75, 'e': 0.0459999999999999}",30,0,38.66408451744523,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
105,False,"{'a': 0.75, 'e': 0.0449999999999999}",35,23,17.665912908227625,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.75, 'e': 0.0439999999999999}",25,2,39.021737913373926,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.75, 'e': 0.0429999999999999}",20,0,23.036708920513046,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
108,False,"{'a': 0.75, 'e': 0.0419999999999999}",25,0,28.733141463241516,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
109,False,"{'a': 0.75, 'e': 0.0409999999999999}",20,0,30.141891241404885,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
110,False,"{'a': 0.75, 'e': 0.0399999999999999}",20,0,27.874936710507438,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
111,False,"{'a': 0.75, 'e': 0.038999999999999896}",20,0,28.540189273113974,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
112,False,"{'a': 0.75, 'e': 0.037999999999999895}",20,0,27.25543554681158,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
113,False,"{'a': 0.75, 'e': 0.036999999999999894}",25,0,37.03546897352088,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
114,False,"{'a': 0.75, 'e': 0.03599999999999989}",20,0,25.483397237773023,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
115,False,"{'a': 0.75, 'e': 0.03499999999999989}",20,0,32.01024354504963,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
116,False,"{'a': 0.75, 'e': 0.03399999999999989}",20,0,28.197468122286644,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
117,False,"{'a': 0.75, 'e': 0.03299999999999989}",20,0,22.315581514246684,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
118,False,"{'a': 0.75, 'e': 0.03199999999999989}",20,0,31.311083068858,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
119,False,"{'a': 0.75, 'e': 0.03099999999999989}",20,0,29.425010829372624,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
120,False,"{'a': 0.75, 'e': 0.029999999999999888}",20,8,14.117552487333462,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.75, 'e': 0.028999999999999887}",25,0,30.74504690619729,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
122,False,"{'a': 0.75, 'e': 0.027999999999999886}",20,0,28.051599113327303,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
123,False,"{'a': 0.75, 'e': 0.026999999999999885}",20,0,29.27280822936819,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
